ID,Expt,ExptA,RefShort,Ref,Location,Lat,Lon,Elev,Biome,System,Subsystem,Method,Area,Vol,Duration,Season,Year,TempMan1,TempMan2,TempMean,TempSD,TempIncr,NutrientsAdded,StressorAdded,AddTrt,AddTrtType,TrtLevel,TrtLevelType,TrtUnits,TrtValue,TrtValueUnits,Rep,LightValue,LightUnits,SamplingDay,GenTime_Days,SamplingDay_Gen,Day,Productivity,NPP sd,ER,ER sd,FluxUnits,MultipleSpecies,TaxonGrp,Taxon,SpeciesName,trophy,TrophicLev,ConsumerPresent,MaxTrophicLev,BodySizeHres,BodySizeHresUnits,BodySize,BodySizeSD,BodySizeUnits,NA,Density,DensitySD,DensityUnit,DensityOU,Biomass,BiomassUnit,BiomassVariance,BiomassVarMeasure,BiomassSD,BiomassOU,Biomass.normalized,Biomass.normalized.unit,Notes1,Notes2,PaperEnteredBy,ReviewedBy,EditedBy,DataFromAuthor
177,72,72,Kishi et al. 2005,"Kishi D., M. Murakami, Z. Nakano and K. Maekawa, 2005, Freshwater Biology, 50:1315-1322","Tomakomai, Hokkaido, Japan",42.63,141.61,NA,Boreal,Freshwater,Stream,Mesocosm,0.03,0.00042,7,Summer,2001,"active heating, active cooling",steady state,3,0.5,0,no,no,predator,biotic,elevated,experimental,fish/m^2,2,ind,4,1378,umol / m2 / s,7,1,7,Final,0.18,,NA,,mg C / mg Chla / hr,yes,microalgae,periphyton,B,A,1,yes,3,NA,NA,2.35E-10,NA,g dry mass,Brose et al. 2005 benthic diatoms in Ledger foodweb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"temperature treatment (reduced, elevated) taken relative to the holding temperature of 9 C; Tr_value_N refers to fish, not to nitrogen; periphyton data need to account for fish presence / absence, which has a large effect on consumer (caddisfly) abundance",pk,CH,MO,No
180,72,72,Kishi et al. 2005,"Kishi D., M. Murakami, Z. Nakano and K. Maekawa, 2005, Freshwater Biology, 50:1315-1322","Tomakomai, Hokkaido, Japan",42.63,141.61,NA,Boreal,Freshwater,Stream,Mesocosm,0.03,0.00042,7,Summer,2001,"active heating, active cooling",steady state,12,0.5,9,no,no,predator,biotic,elevated,experimental,fish/m^2,2,ind,4,1378,umol / m2 / s,7,1,7,Final,0.47,,NA,,mg C / mg Chla / hr,yes,microalgae,periphyton,B,A,1,yes,3,NA,NA,2.35E-10,NA,g dry mass,Brose et al. 2005 benthic diatoms in Ledger foodweb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"temperature treatment (reduced, elevated) taken relative to the holding temperature of 9 C; Tr_value_N refers to fish, not to nitrogen; periphyton data need to account for fish presence / absence, which has a large effect on consumer (caddisfly) abundance",pk,CH,MO,No
183,72,72,Kishi et al. 2005,"Kishi D., M. Murakami, Z. Nakano and K. Maekawa, 2005, Freshwater Biology, 50:1315-1322","Tomakomai, Hokkaido, Japan",42.63,141.61,NA,Boreal,Freshwater,Stream,Mesocosm,0.03,0.00042,7,Summer,2001,"active heating, active cooling",steady state,21,0.5,18,no,no,predator,biotic,elevated,experimental,fish/m^2,2,ind,4,1378,umol / m2 / s,7,1,7,Final,0.56,,NA,,mg C / mg Chla / hr,yes,microalgae,periphyton,B,A,1,yes,3,NA,NA,2.35E-10,NA,g dry mass,Brose et al. 2005 benthic diatoms in Ledger foodweb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"temperature treatment (reduced, elevated) taken relative to the holding temperature of 9 C; Tr_value_N refers to fish, not to nitrogen; periphyton data need to account for fish presence / absence, which has a large effect on consumer (caddisfly) abundance",pk,CH,MO,No
201,7,7,Baulch et al. 2005,"Baulch, H.M., D.W. Schindler, M.A. Turner, D.L. Findlay, M.J. Paterson, and R.D Vinebrooke, 2005, Limnology and Oceanography 50(5):1377-1392","Experimental Lakes Area, Ontario",49.402731,-94.4893,396,Boreal,Freshwater,Lake/Pond,field enclosure,1.96,700,56,Summer,2000,active heating,steady state,18,0.3,0,no,no,None,none,NA,control,NA,NA,NA,4,310-850,NA,28,1,28,Final,4.6,1.905255888,1.1,86.60254038,100 umol C / m2 / hr,yes,microalgae,periphyton,A,A,1,yes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,"The presence of top predators was not manipulated (equivalent communities were added to all treatments); according to Shurin, Polyphemus, Mesocyclops, and Hydra should all be considered predators; Mesocyclops may be vulnerable to higher predators; various",CC,CH,MO,No
202,7,7,Baulch et al. 2005,"Baulch, H.M., D.W. Schindler, M.A. Turner, D.L. Findlay, M.J. Paterson, and R.D Vinebrooke, 2005, Limnology and Oceanography 50(5):1377-1392","Experimental Lakes Area, Ontario",49.402731,-94.4893,396,Boreal,Freshwater,Lake/Pond,field enclosure,1.96,700,56,Summer,2000,active heating,steady state,22.5,0.6,4.5,no,no,None,none,NA,control,NA,NA,NA,4,310-850,NA,28,1,28,Final,6,1.558845727,1.55,121.2435565,100 umol C / m2 / hr,yes,microalgae,periphyton,A,A,1,yes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,"The presence of top predators was not manipulated (equivalent communities were added to all treatments); according to Shurin, Polyphemus, Mesocyclops, and Hydra should all be considered predators; Mesocyclops may be vulnerable to higher predators; various",CC,CH,MO,No
962,37,37,Dahlgren et al. 2011,"Dahlgren et al. 2011, Aquatic Ecology, 45:307-323",Bothnian Sea,64.599956,21.351814,0,Temperate,Marine,brackish,Mesocosm,NA,500,35,Winter,2007,active heating,ambient fluctuations,5,1,0,no,no,food web structure,biotic,control,control,NA,autotrophic,type,4,150,quanta/m2/s,2,0.5,4,Middle,1,0.2,NA,,ug C / L / d,yes,microbe,bacteria,bacteria,H,1,yes,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.63E-05,g C / L,4.07E-06,standard deviation,4.07E-06,ug C / L,66.32,ug C/L,has zoop abundance and productivity data too,NA,MO,NA,NA,NA
963,37,37,Dahlgren et al. 2011,"Dahlgren et al. 2011, Aquatic Ecology, 45:307-323",Bothnian Sea,64.599956,21.351814,0,Temperate,Marine,brackish,Mesocosm,NA,500,35,Winter,2007,active heating,ambient fluctuations,10,1,5,no,no,food web structure,biotic,control,control,NA,autotrophic,type,4,150,quanta/m2/s,2,0.5,4,Middle,1,0.2,NA,,ug C / L / d,yes,microbe,bacteria,bacteria,H,1,yes,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.98E-05,g C / L,1.75E-06,standard deviation,1.75E-06,ug C / L,59.8,ug C/L,has zoop abundance and productivity data too,NA,MO,NA,NA,NA
964,38,38,Dahlgren et al. 2011,"Dahlgren et al. 2011, Aquatic Ecology, 45:307-323",Bothnian Sea,64.599956,21.351814,0,Temperate,Marine,brackish,Mesocosm,NA,500,35,Winter,2007,active heating,ambient fluctuations,5,1,0,no,no,food web structure,biotic,experimental,experimental,NA,heterotrophic,type,4,1,quanta/m2/s,2,0.5,4,Middle,35,4,NA,,ug C / L / d,yes,microbe,bacteria,bacteria,H,1,yes,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.12E-05,g C / L,1.75E-06,standard deviation,1.75E-06,ug C / L,71.2,ug C/L,has zoop abundance and productivity data too,NA,MO,NA,NA,NA
965,38,38,Dahlgren et al. 2011,"Dahlgren et al. 2011, Aquatic Ecology, 45:307-323",Bothnian Sea,64.599956,21.351814,0,Temperate,Marine,brackish,Mesocosm,NA,500,35,Winter,2007,active heating,ambient fluctuations,10,1,5,no,no,food web structure,biotic,experimental,experimental,NA,heterotrophic,type,4,1,quanta/m2/s,2,0.5,4,Middle,40,6,NA,,ug C / L / d,yes,microbe,bacteria,bacteria,H,1,yes,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.15E-05,g C / L,2.43E-06,standard deviation,2.43E-06,ug C / L,81.5,ug C/L,has zoop abundance and productivity data too,NA,MO,NA,NA,NA
966,37,37,Dahlgren et al. 2011,"Dahlgren et al. 2011, Aquatic Ecology, 45:307-323",Bothnian Sea,64.599956,21.351814,0,Temperate,Marine,brackish,Mesocosm,NA,500,35,Winter,2007,active heating,ambient fluctuations,5,1,0,no,no,food web structure,biotic,control,control,NA,autotrophic,type,4,150,quanta/m2/s,15,0.5,30,Middle,14,4,NA,,ug C / L / d,yes,microbe,bacteria,bacteria,H,1,yes,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.81E-05,g C / L,1.48E-06,standard deviation,1.48E-06,ug C / L,38.1,ug C/L,has zoop abundance and productivity data too,NA,MO,NA,NA,NA
