,spID,BodySizeG,BodySizeSD,BodySizeUnits,..1
1,benthic invertebrate amphipod Amphipoda,0.002,1.00E-04,g dry mass,1
2,benthic invertebrate amphipod Ampithoe longimana,0.002,1.00E-04,g dry mass,2
3,benthic invertebrate amphipod Elasmopus levi,0.002,1.00E-04,g dry mass,2
4,benthic invertebrate amphipod Gammarus locusta,0.002,1.00E-04,g dry mass,2
5,benthic invertebrate amphipod Gammarus mucronatus,0.002,1.00E-04,g dry mass,2
6,benthic invertebrate anemone Anthopleura elegantissima,NA,NA,NA,1
7,benthic invertebrate annelid Phragmatopoma californica,NA,NA,NA,1
8,benthic invertebrate annelida Oligochaeta,NA,NA,NA,1
9,benthic invertebrate annelida Unidentified annelids,NA,NA,NA,1
10,benthic invertebrate arthropod Acari,NA,NA,NA,1
11,benthic invertebrate ascidean colonial and social tunicates,NA,NA,NA,1
12,benthic invertebrate barnacle Balanus spp,NA,NA,NA,1
13,benthic invertebrate barnacle Chthamalus fissus,NA,NA,NA,2
14,benthic invertebrate barnacle Tetraclita rubescens,NA,NA,NA,2
15,benthic invertebrate benthic invertebrate A,0.003750312,NA,g dry mass,1
16,benthic invertebrate benthic invertebrate B,0.003750312,NA,g dry mass,1
17,benthic invertebrate benthic invertebrate C,0.003750312,NA,g dry mass,1
18,benthic invertebrate benthic invertebrate D,0.003750312,NA,g dry mass,1
19,benthic invertebrate benthic invertebrate E,0.003750312,NA,g dry mass,1
20,benthic invertebrate benthic invertebrate F,0.003750312,NA,g dry mass,1
21,benthic invertebrate benthic invertebrate G,0.003750312,NA,g dry mass,1
22,benthic invertebrate benthic invertebrate H,0.003750312,NA,g dry mass,1
23,benthic invertebrate benthic invertebrate I,NA,NA,NA,2
24,benthic invertebrate benthic invertebrate Macclintockia scabra,NA,NA,NA,1
25,benthic invertebrate benthic invertebrate Pista spp,NA,NA,NA,1
26,benthic invertebrate benthic invertebrate Serpulorbis squamigerus,NA,NA,NA,1
27,benthic invertebrate bryozoan Dodecaceria fewkesi,NA,NA,NA,1
28,benthic invertebrate bryozoan encrusting bryozoans,NA,NA,NA,1
29,benthic invertebrate bryozoan foliose bryozoans,NA,NA,NA,1
30,benthic invertebrate cnidarian Anthopleura elegantissima,NA,NA,NA,1
31,benthic invertebrate cnidarian Anthopleura elegantissima and sola,NA,NA,NA,1
32,benthic invertebrate cnidarian Anthopleura xanthogrammica,NA,NA,NA,1
33,benthic invertebrate cnidarian Epiactis prolifera,NA,NA,NA,1
34,benthic invertebrate cnidarian Hydra sp.,NA,NA,NA,1
35,benthic invertebrate crab Pachygrapsus crassipes,NA,NA,NA,2
36,benthic invertebrate crab Pagurus spp,NA,NA,NA,2
37,benthic invertebrate crab Pugettia spp,NA,NA,NA,1
38,benthic invertebrate echinoderm Leptasterias spp,NA,NA,NA,1
39,benthic invertebrate echinoderm Pisaster ochraceus,NA,NA,NA,1
40,benthic invertebrate echinoderm Strongylocentrotus purpuratus,NA,NA,NA,1
41,benthic invertebrate encrusting sponge encrusting sponge,NA,NA,NA,1
42,benthic invertebrate gastropod Acanthina spp,NA,NA,NA,1
43,benthic invertebrate gastropod B,NA,NA,NA,1
44,benthic invertebrate gastropod Cyanoplax spp,NA,NA,NA,1
45,benthic invertebrate gastropod Fissurella volcano,NA,NA,NA,2
46,benthic invertebrate gastropod Haliotis spp,NA,NA,NA,2
47,benthic invertebrate gastropod Littorina littorea,1.44,NA,g dry mass,2
48,benthic invertebrate gastropod Lottia digitalis,NA,NA,NA,2
49,benthic invertebrate gastropod Lottia limatula,NA,NA,NA,2
