ID,Expt,ExptA,RefShort,Ref,Location,Lat,Lon,Elev,Biome,System,Subsystem,Method,Area,Vol,Duration,Season,Year,TempMan1,TempMan2,TempMean,TempSD,TempIncr,NutrientsAdded,StressorAdded,AddTrt,AddTrtType,TrtLevel,TrtLevelType,TrtUnits,TrtValue,TrtValueUnits,Rep,LightValue,LightUnits,SamplingDay,GenTime_Days,SamplingDay_Gen,Day,Productivity,NPP sd,ER,ER sd,FluxUnits,MultipleSpecies,TaxonGrp,Taxon,SpeciesName,trophy,TrophicLev,ConsumerPresent,MaxTrophicLev,BodySizeHres,BodySizeHresUnits,BodySize,BodySizeSD,BodySizeUnits,NA,Density,DensitySD,DensityUnit,DensityOU,Biomass,BiomassUnit,BiomassVariance,BiomassVarMeasure,BiomassSD,BiomassOU,Biomass.normalized,Biomass.normalized.unit,abund.type,Notes1,Notes2,PaperEnteredBy,ReviewedBy,EditedBy,DataFromAuthor
3819,140,140,Alsterberg et al .2013,"Alsterberg et al. 2013, Proceedings of the National Academy of Sciences, 110 (21): 8603-8608 ","Sven Lov_n Center for Marine Sciences, Kristineberg, Fiskeb_ckskil, Sweden",58.25,11.44,0,Temperate,Marine,Marine Coastal,Mesocosm,NA,30,45,Summer,2010,active heating,ambient fluctuations,19.45,NA,0,no,yes,"pH, mesograzers",both,"pH, mesograzers",experimental,pH,7.7,pH,5,NA,NA,45,180,NA,Initial,NA,NA,NA,NA,NA,yes,benthic invertebrates,benthic invertebrate,grazers,H,2,no,2,1,g WW,1,g WW,NA,,42,0,NA,NA,15.3,g WW,0,NA,0,NA,,,abs,"Only reference to mean temperature for this experiment is in Eklof ef al. 2012, temeperature is similar to 1.6m depth in Gullmar Fjord",Productivity is benthic algae primary productivity,TR,MO,,
3820,140,140,Alsterberg et al .2013,"Alsterberg et al. 2013, Proceedings of the National Academy of Sciences, 110 (21): 8603-8608 ","Sven Lov_n Center for Marine Sciences, Kristineberg, Fiskeb_ckskil, Sweden",58.25,11.44,0,Temperate,Marine,Marine Coastal,Mesocosm,NA,30,45,Summer,2010,active heating,ambient fluctuations,22.65,NA,3.2,no,yes,"pH, mesograzers",both,"pH, mesograzers",experimental,pH,7.7,pH,5,NA,NA,45,180,NA,Initial,NA,NA,NA,NA,NA,yes,benthic invertebrates,benthic invertebrate,grazers,H,2,no,2,1,g WW,1,g WW,NA,,42,0,NA,NA,15.3,g WW,0,NA,0,NA,,,abs,"Only reference to mean temperature for this experiment is in Eklof ef al. 2012, temeperature is similar to 1.6m depth in Gullmar Fjord",Productivity is benthic algae primary productivity,TR,MO,,
3797,140,140,Alsterberg et al .2013,"Alsterberg et al. 2013, Proceedings of the National Academy of Sciences, 110 (21): 8603-8608 ","Sven Lov_n Center for Marine Sciences, Kristineberg, Fiskeb_ckskil, Sweden",58.25,11.44,0,Temperate,Marine,Marine Coastal,Mesocosm,NA,30,45,Summer,2010,active heating,ambient fluctuations,19.45,NA,0,no,yes,"pH, mesograzers",abiotic,pH,experimental,pH,7.7,pH,5,NA,NA,45,60,NA,Final,NA,NA,NA,NA,NA,yes,benthic invertebrates,benthic invertebrates,sediment associated,H,2,no,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.3,g DW,0.0364,SE,0.081392875,g DW,,,abs,"Only reference to mean temperature for this experiment is in Eklof ef al. 2012, temeperature is similar to 1.6m depth in Gullmar Fjord",Productivity is benthic algae primary productivity,TR,MO,,
3798,140,140,Alsterberg et al .2013,"Alsterberg et al. 2013, Proceedings of the National Academy of Sciences, 110 (21): 8603-8608 ","Sven Lov_n Center for Marine Sciences, Kristineberg, Fiskeb_ckskil, Sweden",58.25,11.44,0,Temperate,Marine,Marine Coastal,Mesocosm,NA,30,45,Summer,2010,active heating,ambient fluctuations,22.65,NA,3.2,no,yes,"pH, mesograzers",abiotic,pH,experimental,pH,7.7,pH,5,NA,NA,45,60,NA,Final,NA,NA,NA,NA,NA,yes,benthic invertebrates,benthic invertebrates,sediment associated,H,2,no,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.5227,g DW,0.0909,SE,0.203258581,g DW,,,abs,"Only reference to mean temperature for this experiment is in Eklof ef al. 2012, temeperature is similar to 1.6m depth in Gullmar Fjord",Productivity is benthic algae primary productivity,TR,MO,,
3803,140,140,Alsterberg et al .2013,"Alsterberg et al. 2013, Proceedings of the National Academy of Sciences, 110 (21): 8603-8608 ","Sven Lov_n Center for Marine Sciences, Kristineberg, Fiskeb_ckskil, Sweden",58.25,11.44,0,Temperate,Marine,Marine Coastal,Mesocosm,NA,30,45,Summer,2010,active heating,ambient fluctuations,19.45,NA,0,no,yes,"pH, mesograzers",abiotic,pH,experimental,pH,7.7,pH,5,NA,NA,45,60,NA,Initial,NA,NA,NA,NA,NA,yes,benthic invertebrates,benthic invertebrates,sediment associated,H,2,no,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.3,g DW,0.0364,SE,0.081392875,g DW,,,abs,"Only reference to mean temperature for this experiment is in Eklof ef al. 2012, temeperature is similar to 1.6m depth in Gullmar Fjord",Productivity is benthic algae primary productivity,TR,MO,,
3804,140,140,Alsterberg et al .2013,"Alsterberg et al. 2013, Proceedings of the National Academy of Sciences, 110 (21): 8603-8608 ","Sven Lov_n Center for Marine Sciences, Kristineberg, Fiskeb_ckskil, Sweden",58.25,11.44,0,Temperate,Marine,Marine Coastal,Mesocosm,NA,30,45,Summer,2010,active heating,ambient fluctuations,22.65,NA,3.2,no,yes,"pH, mesograzers",abiotic,pH,experimental,pH,7.7,pH,5,NA,NA,45,60,NA,Initial,NA,NA,NA,NA,NA,yes,benthic invertebrates,benthic invertebrates,sediment associated,H,2,no,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.5227,g DW,0.0909,SE,0.203258581,g DW,,,abs,"Only reference to mean temperature for this experiment is in Eklof ef al. 2012, temeperature is similar to 1.6m depth in Gullmar Fjord",Productivity is benthic algae primary productivity,TR,MO,,
3809,140,140,Alsterberg et al .2013,"Alsterberg et al. 2013, Proceedings of the National Academy of Sciences, 110 (21): 8603-8608 ","Sven Lov_n Center for Marine Sciences, Kristineberg, Fiskeb_ckskil, Sweden",58.25,11.44,0,Temperate,Marine,Marine Coastal,Mesocosm,NA,30,45,Summer,2010,active heating,ambient fluctuations,19.45,NA,0,no,yes,"pH, mesograzers",both,"pH, mesograzers",experimental,pH,7.7,pH,5,NA,NA,45,60,NA,Final,NA,NA,NA,NA,NA,yes,benthic invertebrates,benthic invertebrates,sediment associated,H,2,no,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.1909,g DW,0.05,SE,0.1118034,g DW,,,abs,"Only reference to mean temperature for this experiment is in Eklof ef al. 2012, temeperature is similar to 1.6m depth in Gullmar Fjord",Productivity is benthic algae primary productivity,TR,MO,,
3810,140,140,Alsterberg et al .2013,"Alsterberg et al. 2013, Proceedings of the National Academy of Sciences, 110 (21): 8603-8608 ","Sven Lov_n Center for Marine Sciences, Kristineberg, Fiskeb_ckskil, Sweden",58.25,11.44,0,Temperate,Marine,Marine Coastal,Mesocosm,NA,30,45,Summer,2010,active heating,ambient fluctuations,22.65,NA,3.2,no,yes,"pH, mesograzers",both,"pH, mesograzers",experimental,pH,7.7,pH,5,NA,NA,45,60,NA,Final,NA,NA,NA,NA,NA,yes,benthic invertebrates,benthic invertebrates,sediment associated,H,2,no,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.2455,g DW,0.0681,SE,0.152276231,g DW,,,abs,"Only reference to mean temperature for this experiment is in Eklof ef al. 2012, temeperature is similar to 1.6m depth in Gullmar Fjord",Productivity is benthic algae primary productivity,TR,MO,,
3815,140,140,Alsterberg et al .2013,"Alsterberg et al. 2013, Proceedings of the National Academy of Sciences, 110 (21): 8603-8608 ","Sven Lov_n Center for Marine Sciences, Kristineberg, Fiskeb_ckskil, Sweden",58.25,11.44,0,Temperate,Marine,Marine Coastal,Mesocosm,NA,30,45,Summer,2010,active heating,ambient fluctuations,19.45,NA,0,no,yes,"pH, mesograzers",both,"pH, mesograzers",experimental,pH,7.7,pH,5,NA,NA,45,60,NA,Initial,NA,NA,NA,NA,NA,yes,benthic invertebrates,benthic invertebrates,sediment associated,H,2,no,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.1909,g DW,0.05,SE,0.1118034,g DW,,,abs,"Only reference to mean temperature for this experiment is in Eklof ef al. 2012, temeperature is similar to 1.6m depth in Gullmar Fjord",Productivity is benthic algae primary productivity,TR,MO,,
3816,140,140,Alsterberg et al .2013,"Alsterberg et al. 2013, Proceedings of the National Academy of Sciences, 110 (21): 8603-8608 ","Sven Lov_n Center for Marine Sciences, Kristineberg, Fiskeb_ckskil, Sweden",58.25,11.44,0,Temperate,Marine,Marine Coastal,Mesocosm,NA,30,45,Summer,2010,active heating,ambient fluctuations,22.65,NA,3.2,no,yes,"pH, mesograzers",both,"pH, mesograzers",experimental,pH,7.7,pH,5,NA,NA,45,60,NA,Initial,NA,NA,NA,NA,NA,yes,benthic invertebrates,benthic invertebrates,sediment associated,H,2,no,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.2455,g DW,0.0681,SE,0.152276231,g DW,,,abs,"Only reference to mean temperature for this experiment is in Eklof ef al. 2012, temeperature is similar to 1.6m depth in Gullmar Fjord",Productivity is benthic algae primary productivity,TR,MO,,
